ID;Cash;Tips;Corporativos;MBS;Equity;Emergentes
2012-05-15;117.01;138.2482;476.586;1854.617;2302.56;298.09
2012-05-16;117.011;138.0912;476.066;1855.485;2293.21;297.17
2012-05-17;117.012;138.0682;475.53;1856.535;2258.93;296.61
2012-05-18;117.01;137.9583;474.871;1855.911;2242.25;295.67
2012-05-21;117.014;138.1383;474.801;1855.168;2278.24;295.71
2012-05-22;117.014;138.0563;474.822;1854.201;2279.4;296.26
2012-05-23;117.014;137.8826;474.89;1855.061;2283.36;295.71
2012-05-24;117.014;137.8033;474.658;1854.193;2286.87;295.39
2012-05-25;117.01;137.7074;474.933;1854.44;2281.92;295.29
2012-05-28;117.016;;475.08;1854.467;;295.45
2012-05-29;117.016;137.7601;475.181;1854.571;2307.57;295.72
2012-05-30;117.018;137.6958;475.59;1856.524;2275.19;295.48
2012-05-31;117.019;137.7322;475.663;1857.601;2270.25;295.26
2012-06-01;117.015;137.3321;475.625;1858.141;2214.41;295.04
2012-06-04;117.018;137.1098;475.258;1855.181;2214.7;294.35
2012-06-05;117.018;137.1358;475.439;1853.873;2227.45;294.88
2012-06-06;117.018;137.0818;475.257;1853.953;2279.42;295.62
2012-06-07;117.019;137.3774;475.811;1855.881;2279.28;296.82
2012-06-08;117.016;137.4283;475.986;1856.083;2297.82;296.84
2012-06-11;117.02;137.5671;476.353;1857.813;2268.94;297.43
2012-06-12;117.018;137.4413;475.679;1857.921;2295.4;296.87
2012-06-13;117.018;137.5316;476.048;1858.735;2280.13;297.51
2012-06-14;117.017;137.5904;476.041;1857.929;2304.83;297.59
2012-06-15;117.017;138.1242;476.691;1857.933;2328.66;298.4
2012-06-18;117.021;138.0885;476.699;1858.121;2332.07;298.73
2012-06-19;117.022;138.1661;476.906;1857.833;2355.01;299.22
2012-06-20;117.022;138.0599;476.688;1856.325;2351.14;299.42
2012-06-21;117.023;137.632;476.998;1858.464;2299.16;299.42
2012-06-22;117.021;137.3867;477.036;1858.134;2315.65;299.15
2012-06-25;117.023;137.3961;477.475;1859.72;2278.98;299.6
2012-06-26;117.024;137.3094;477.304;1858.435;2289.86;299.56
2012-06-27;117.023;137.26;477.379;1858.993;2310.98;299.63
2012-06-28;117.025;137.19;477.684;1860.085;2306.22;299.8
2012-06-29;117.022;137.4448;477.867;1859.329;2363.79;300.29
2012-06-30;117.024;;477.915;1859.338;;300.34
2012-07-02;117.024;137.5765;478.7;1862.15;2369.75;301.36
2012-07-03;117.024;137.7277;478.64;1861.437;2385.06;301.78
2012-07-04;117.026;;478.688;1861.446;;301.92
2012-07-05;117.026;137.9085;479.054;1863.072;2373.91;302.61
2012-07-06;117.023;137.8506;479.388;1865.08;2352.34;303.05
2012-07-09;117.027;137.9123;479.624;1868.807;2348.52;303.36
2012-07-10;117.026;137.9791;479.813;1868.759;2329.46;303.99
2012-07-11;117.026;137.9876;479.895;1869.775;2329.71;304.3
2012-07-12;117.025;137.9025;480.034;1869.831;2318.09;304.7
2012-07-13;117.023;137.9493;480.377;1869.466;2356.4;305.31
2012-07-16;117.027;138.1178;481.002;1870.761;2350.94;305.97
2012-07-17;117.028;138.0905;481.107;1870.077;2368.36;306.36
2012-07-18;117.029;138.2161;481.614;1871.993;2384.54;306.76
2012-07-19;117.03;138.3177;481.862;1872.292;2391.27;306.94
2012-07-20;117.027;138.3175;482.031;1873.384;2367.26;307.26
2012-07-23;117.03;138.1858;482.061;1873.556;2346.22;306.74
2012-07-24;117.029;138.0285;482.128;1873.797;2325.02;306.5
